territory_name_source,territory_norm,indent_spaces,territory_kind_source,year,unemployment_rate_ilo_15plus_pct,indicator_name,unit,source_file,source_file_sha256,source_note,territory_id,territory_name,territory_level,federal_district_id,federal_district_name,is_rf_total,is_federal_district,is_nonoverlap_model_region,is_overlapping_parent_region,is_part_without_autonomous_okryg,is_nested_official_autonomous_okryg,match_status
Владимирская область,владимирская область,8,subject_or_parent_region,2023,2.0,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER005,Владимирская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Владимирская область,владимирская область,8,subject_or_parent_region,2024,1.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER005,Владимирская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Владимирская область,владимирская область,8,subject_or_parent_region,2025,1.9,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER005,Владимирская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Воронежская область,воронежская область,8,subject_or_parent_region,2017,4.3,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER006,Воронежская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Воронежская область,воронежская область,8,subject_or_parent_region,2018,3.6,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER006,Воронежская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Воронежская область,воронежская область,8,subject_or_parent_region,2019,3.5,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER006,Воронежская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Воронежская область,воронежская область,8,subject_or_parent_region,2020,4.3,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER006,Воронежская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Воронежская область,воронежская область,8,subject_or_parent_region,2021,3.8,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER006,Воронежская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Воронежская область,воронежская область,8,subject_or_parent_region,2022,3.5,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER006,Воронежская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Воронежская область,воронежская область,8,subject_or_parent_region,2023,3.3,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER006,Воронежская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
Воронежская область,воронежская область,8,subject_or_parent_region,2024,2.6,"Уровень безработицы (по методологии МОТ), население 15 лет и старше",percent_of_labor_force,Уровень безработицы по методологии МОТ 15plus.xlsx,bb923bc8c750019c0033bab402f663ce3962144d30b2c3d0495e66bc607bb2ad,User-supplied official EMISS/Rosstat XLSX; parsed from sheet Данные.,TER006,Воронежская область,Субъект РФ / агрегированная строка субъекта,TER002,Центральный федеральный округ,False,False,True,False,False,False,matched_to_emiss_ref
